,image_name,image_url,contents,location,hashtags
0,오오티디_0.jpg,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/151358814_1194051167719525_2289602342164694011_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=sGXt-1p0tnAAX-LiHsr&tp=1&oh=2192f31640437399b09bc0b636b220a4&oe=605BCB3A,멋진척좀;,,#셀피#천안#천안카페#프롬브릿지#크로플#베이커리#카페#불당동#불당#일상#오오티디#미니멀룩#데일리룩#첼시부츠#좋아요#daily#dailylook#ootd#selfie#cafe
1,오오티디_1.jpg,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/151375909_253532996353992_6469173262220077647_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=_FnhM0BQ3WQAX-IxErQ&tp=1&oh=f80bcbc7172a58cdef0d0b602fecf340&oe=605BF04C,잘생긴놈 키작은놈 뚱뚱한놈,Sejong,#daily#dailylook#맞팔#선팔#좋아요#오오티디#ootd#훈남#코디#좋아요반사#좋반#데일리룩#데일리룩코디#청주#대전#셀피#selfie#today#선팔하면맞팔#f4f#likeforfollow#likeforlikes#follow#일상#소통#모델#오늘의코디#98#24살
2,오오티디_2.jpg,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/152400715_754225531892075_5596693968467813963_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=-Py2N7eM8qgAX9nrL_h&tp=1&oh=5dc6c689c8894bb0f1881dfc379d918a&oe=605BE298,날씨 맑음☀️,오후애,#팔로우#맞팔#맞팔환영#선팔맞팔#선팔환영#디엠#소통#일상#오오티디#셀피#좋아요#좋반#좋아요반사#얼스타그램#고딩#포항#03#followforfollowback#following#likeforlikes#likeforlikeback#l4like#l4l#いいね#いいね返し#フォロー#フォロバ#フォロミ#相互#相互フォロー
3,오오티디_3.jpg,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/151353232_743996612986124_2857423533057149887_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=GOy60o8qIn8AX-_UDrG&tp=1&oh=b1bb82865ba14ca49a36ef1226aba297&oe=6059C6B4,"⠀
아직은 어려운 힙 zㅣ ro ㄱHㅁ ㅅㅓㅇ..✨

⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
⠀
",힙지로,#좋아요반사#좋반#데일리#22#00#셀스타그램#얼스타그램#셀피#선팔환영#전신샷#소통#좋아요#팔로우#좋아요테러#을지로#을지로맛집#을지로카페#패션스타그램#오오티디#데일리룩#맞팔#일상#힙지로#셀스타#맞팔100#선팔하면맞팔#ootd#선팔맞팔#맞팔환영#강남#mood
4,오오티디_4.jpg,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/sh0.08/e35/s640x640/151280444_899436934161578_8249306310244963468_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=hemVJa_Smt8AX-kfL84&tp=1&oh=995a2214b5df9e9702f4be16e3da4e21&oe=605C50FC,,환상의 섬 Jeju Island,
